Name,Type,Min Players,Max Players,Play Time (mins)
10 Days in Europe,Card,2,4,
7 Wonders,Card,2,7,30
7 Wonders Duel,Deckbuilding,2,2,
Abyss,Board,2,4,45
Anomia (Party Edition),Party,3,6,
Apollo: NASA Moon Missions,Cooperative,2,5,
Azul (with expansion),Puzzle,2,4,45
Azul: Stained Glass of Suntra,Puzzle,2,4,45
Bang! (with expansion),Card,5,10,40
Bang: The Dice Game,Party,3,8,15
Bards Dispense Profanity,Party,4,100,
Bears Vs Babies,Party,2,8,
"Before I Kill You, Mister Spy",Card,2,6,
Betrayal at Baldur's Gate,Board,3,6,60
Betrayal at House on the Hill (with expansion),Board,3,6,60
Betrayal Legacy,Legacy,3,6,
Burgle Bros,Cooperative,1,4,90
Carcassonne,Board,2,5,45
Catan Dice Game,Dice,1,4,30
Chemistry Fluxx,Card,2,5,
Chrononauts,Card,1,6,45
Clank,Deckbuilding,2,4,60
Codenames,Party,3,100,
Colony,Board,1,4,60
Concept,Party,2,100,
Cosmic Colonies,Board,1,5,45
Dastardly Dirigibles,Card,2,5,
DC Deck-building Game (with expansion),Deckbuilding,2,5,
DC Deck-building Game Rebirth,Deckbuilding,1,4,
Dice Forge (with expansion),Dice,2,4,45
Disney Villainous (with expansion),Deckbuilding,2,6,50
Doctor Who Fluxx,Card,2,5,
Dominoes (2x),Board,2,4,
Elder Sign (with expansion),Cooperative,1,8,
Elysium,Deckbuilding,2,4,60
Ex Libris,Deckbuilding,1,4,45
Exploding Kittens (with expansion),Party,2,8,15
Five Tribes (with expansion),Board,2,4,80
Fluxx (with Fluxx Dice),Card,2,5,
Forbidden Sky,Cooperative,2,5,60
Guillotine,Card,2,4,
Hail Hydra,Party,5,8,
Harry Potter Defense Against the Dark Arts,Deckbuilding,2,2,
Imhotep,Board,2,2,
Intelle,Board,2,2,
Jumanji Fluxx,Card,2,5,
King of New York,Dice,2,6,40
Kingdomino,Puzzle,2,4,
Lanterns,Board,2,4,30
Llamas Unleashed,Party,2,8,45
Lords of Scotland,Card,2,5,30
Martians!!!,Party,2,7,
Marvel Villainous,Deckbuilding,2,4,80
Mille Bornes,Card,2,5,25
Monty Python Fluxx,Card,2,5,
Munchkin Deluxe: Harry Potter,Deckbuilding,3,6,120
Near and Far,Legacy,2,4,120
Odin's Ravens,Board,2,2,
Pandemic Legacy Season 2,Legacy,2,4,60
Pandemic: The Cure,Cooperative,2,5,30
Potion Explosion,Puzzle,2,4,45
Race for the Galaxy,Card,2,4,60
Risk,Board,2,6,
Roll for the Galaxy,Dice,2,5,45
Saboteur (with expansion),Card,3,12,
Sagrada (with expansion),Dice,1,4,45
San Juan,Card,2,4,60
Scarabya,Puzzle,1,4,20
Scotland Yard,Board,3,6,
Sea Fall,Legacy,3,5,
Seasons (with expansion),Deckbuilding,2,4,60
Settlers of Catan,Board,3,4,
Skip-Bo,Card,2,6,
Smash Up (with expansion),Card,2,4,45
Solar Draft,Card,2,4,
Star Fluxx,Card,2,5,
Star Wars: I've Got A Bad Feeling About This,Party,2,4,
Stem Epic Heroes,Card,2,4,30
Sushi Go Party,Party,2,8,20
Taboo,Party,4,100,
Takenoko,Board,2,4,45
Tapestry,Board,1,5,120
Telestrations,Party,6,12,
The 7th Continent (with expansion),Legacy,2,5,
The Artemis Project,Board,1,5,75
The Game,Card,1,5,20
The Princes of Florence,Board,3,5,90
The Wizard Always Wins,Party,2,5,
Three Cheers for Master,Card,2,6,45
Tiny Epic Defenders,Board,1,4,30
Tiny Epic Galaxies,Board,1,4,45
Tsuro of the Seas,Board,2,8,40
Tsuro: Phoenix Rising,Board,2,8,50
Two Rooms and a Boom,Party,5,15,15
Uno,Card,2,10,
Uno Flip!,Card,2,10,
What's Yours Like?,Party,4,100,
Word Slam,Party,3,100,45
World's Fair 1893,Board,2,4,40
